status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_or_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,target
14,12,34,A45,996,65,74,4,A92,A101,4,A121,23.0,A143,A152,2,173,1,A191,0
14,6,31,A43,1750,63,75,2,A93,A101,4,A122,45.0,A141,A152,1,172,2,A191,0
11,48,32,A43,6999,61,74,1,A94,A103,1,A121,34.0,A143,A152,2,173,1,A192,1
12,12,34,A40,1995,62,72,4,A93,A101,1,A123,27.0,A143,A152,1,173,1,A191,0
12,9,32,A46,1199,61,74,4,A92,A101,4,A122,63.0,A143,A152,2,174,1,A192,0
12,12,32,A43,1331,61,72,2,A93,A101,1,A123,22.0,A142,A152,1,173,1,A191,1
12,18,30,A40,2278,62,72,3,A92,A101,3,A123,28.0,A143,A152,2,173,1,A191,1
14,21,30,A40,5003,65,73,1,A92,A101,4,A122,29.0,A141,A152,2,173,1,A192,1
11,24,31,A42,3552,61,74,3,A93,A101,4,A123,27.0,A141,A152,1,173,1,A191,1
12,18,34,A42,1928,61,72,2,A93,A101,2,A121,31.0,A143,A152,2,172,1,A191,1
11,24,32,A41,2964,65,75,4,A93,A101,4,A124,49.0,A141,A153,1,173,2,A192,0
11,24,31,A43,1546,61,74,4,A93,A103,4,A123,24.0,A141,A151,1,172,1,A191,1
13,6,33,A43,683,61,72,2,A92,A101,1,A122,29.0,A141,A152,1,173,1,A191,0
12,36,32,A40,12389,65,73,1,A93,A101,4,A124,37.0,A143,A153,1,173,1,A192,1
12,24,33,A49,4712,65,73,4,A93,A101,2,A122,37.0,A141,A152,2,174,1,A192,0
12,24,33,A43,1553,62,74,3,A92,A101,2,A122,23.0,A143,A151,2,173,1,A192,0
11,12,32,A40,1372,61,74,2,A91,A101,3,A123,36.0,A143,A152,1,173,1,A191,1
14,24,34,A43,2578,64,75,2,A93,A101,2,A123,34.0,A143,A152,1,173,1,A191,0
12,48,32,A43,3979,65,74,4,A93,A101,1,A123,41.0,A143,A152,2,173,2,A192,0
11,48,32,A43,6758,61,73,3,A92,A101,2,A123,31.0,A143,A152,1,173,1,A192,1
11,24,32,A42,3234,61,72,4,A92,A101,4,A121,23.0,A143,A151,1,172,1,A192,1
14,30,34,A43,5954,61,74,3,A93,A102,2,A123,38.0,A143,A152,1,173,1,A191,0
14,24,32,A41,5433,65,71,2,A92,A101,4,A122,26.0,A143,A151,1,174,1,A192,0
11,15,32,A49,806,61,73,4,A92,A101,4,A122,22.0,A143,A152,1,172,1,A191,0
12,9,32,A43,1082,61,75,4,A93,A101,4,A123,27.0,A143,A152,2,172,1,A191,0
14,15,34,A42,2788,61,74,2,A92,A102,3,A123,24.0,A141,A152,2,173,1,A191,0
12,12,32,A43,2930,61,74,2,A92,A101,1,A121,27.0,A143,A152,1,173,1,A191,0
14,24,34,A46,1927,65,73,3,A92,A101,2,A123,33.0,A143,A152,2,173,1,A192,0
12,36,34,A40,2820,61,72,4,A91,A101,4,A123,27.0,A143,A152,2,173,1,A191,1
14,24,32,A48,937,61,72,4,A94,A101,3,A123,27.0,A143,A152,2,172,1,A191,0
12,18,34,A40,1056,61,75,3,A93,A103,3,A121,30.0,A141,A152,2,173,1,A191,1
12,12,34,A40,3124,61,72,1,A93,A101,3,A121,49.0,A141,A152,2,172,2,A191,0
14,9,32,A42,1388,61,73,4,A92,A101,2,A121,26.0,A143,A151,1,173,1,A191,0
12,36,32,A45,2384,61,72,4,A93,A101,1,A124,33.0,A143,A151,1,172,1,A191,1
14,12,32,A40,2133,65,75,4,A92,A101,4,A124,52.0,A143,A153,1,174,1,A192,0
11,18,32,A42,2039,61,73,1,A92,A101,4,A121,22.0,A141,A151,1,173,1,A191,1
11,9,34,A40,2799,61,73,2,A93,A101,2,A121,36.0,A143,A151,2,173,2,A191,0
11,12,32,A42,1289,61,73,4,A93,A103,1,A122,22.0,A143,A152,1,172,1,A191,0
11,18,32,A44,1217,61,73,4,A94,A101,3,A121,47.0,A143,A152,1,172,1,A192,1
11,12,34,A42,2246,61,75,3,A93,A101,3,A122,60.0,A143,A152,2,173,1,A191,1
11,12,34,A43,385,61,74,4,A92,A101,3,A121,58.0,A143,A152,4,172,1,A192,0
12,24,33,A40,1965,65,73,4,A92,A101,4,A123,42.0,A143,A151,2,173,1,A192,0
14,21,32,A49,1572,64,75,4,A92,A101,4,A121,36.0,A141,A152,1,172,1,A191,0
12,24,32,A40,2718,61,73,3,A92,A101,4,A122,22.0,A143,A151,1,172,1,A192,1
11,24,31,A410,1358,65,75,4,A93,A101,3,A123,40.0,A142,A152,1,174,1,A192,1
12,6,31,A40,931,62,72,1,A92,A101,1,A122,32.0,A142,A152,1,172,1,A191,1
11,24,32,A40,1442,61,74,4,A92,A101,4,A123,23.0,A143,A151,2,173,1,A191,1
12,24,30,A49,4241,61,73,1,A93,A101,4,A121,36.0,A143,A152,3,172,1,A192,1
14,18,34,A40,2775,61,74,2,A93,A101,2,A122,31.0,A141,A152,2,173,1,A191,1
14,24,33,A49,3863,61,73,1,A93,A101,2,A124,32.0,A143,A153,1,173,1,A191,0
12,7,32,A43,2329,61,72,1,A92,A103,1,A121,45.0,A143,A152,1,173,1,A191,0
12,9,32,A42,918,61,73,4,A92,A101,1,A122,30.0,A143,A152,1,173,1,A191,1
12,24,31,A46,1837,61,74,4,A92,A101,4,A124,34.0,A141,A153,1,172,1,A191,1
14,36,32,A42,3349,61,73,4,A92,A101,2,A123,28.0,A143,A152,1,174,1,A192,1
13,10,32,A42,1275,61,72,4,A92,A101,2,A122,23.0,A143,A152,1,173,1,A191,0
11,24,31,A42,2828,63,73,4,A93,A101,4,A121,22.0,A142,A152,1,173,1,A192,0
14,24,34,A49,4526,61,73,3,A93,A101,2,A121,63.0,A143,A152,1,174,1,A192,0
12,36,32,A43,2671,62,73,4,A92,A102,4,A124,50.0,A143,A153,1,173,1,A191,1
14,18,32,A43,2051,61,72,4,A93,A101,1,A121,33.0,A143,A152,1,173,1,A191,0
14,15,32,A41,1300,65,75,4,A93,A101,4,A124,45.0,A141,A153,1,173,2,A191,0
11,12,32,A44,741,62,71,4,A92,A101,3,A122,22.0,A143,A152,1,173,1,A191,1
13,10,32,A40,1240,62,75,1,A92,A101,4,A124,48.0,A143,A153,1,172,2,A191,1
11,21,32,A43,3357,64,72,4,A92,A101,2,A123,29.0,A141,A152,1,173,1,A191,0
11,24,31,A41,3632,61,73,1,A92,A103,4,A123,22.0,A141,A151,1,173,1,A191,0
14,18,33,A42,1808,61,74,4,A92,A101,1,A121,22.0,A143,A152,1,173,1,A191,1
12,48,30,A49,12204,65,73,2,A93,A101,2,A123,48.0,A141,A152,1,174,1,A192,0
12,60,33,A43,9157,65,73,2,A93,A101,2,A124,27.0,A143,A153,1,174,1,A191,0
11,6,34,A40,3676,61,73,1,A93,A101,3,A121,37.0,A143,A151,3,173,2,A191,0
12,30,32,A42,3441,62,73,2,A92,A102,4,A123,22.0,A143,A151,1,173,1,A191,1
14,12,32,A40,640,61,73,4,A91,A101,2,A121,49.0,A143,A152,1,172,1,A191,0
12,21,34,A49,3652,61,74,2,A93,A101,3,A122,27.0,A143,A152,2,173,1,A191,0
14,18,34,A40,1530,61,73,3,A93,A101,2,A122,32.0,A141,A152,2,173,1,A191,1
14,48,32,A49,3914,65,73,4,A91,A101,2,A121,38.0,A141,A152,1,173,1,A191,1
11,12,32,A42,1858,61,72,4,A92,A101,1,A123,22.0,A143,A151,1,173,1,A191,0
11,18,32,A43,2600,61,73,4,A93,A101,4,A124,63.0,A143,A153,2,173,1,A191,1
14,15,32,A43,1979,65,75,4,A93,A101,2,A123,35.0,A143,A152,1,173,1,A191,0
13,6,32,A42,2116,61,73,2,A93,A101,2,A121,41.0,A143,A152,1,173,1,A192,0
12,9,31,A40,1437,62,74,2,A93,A101,3,A124,29.0,A143,A152,1,173,1,A191,1
14,42,34,A42,4042,63,73,4,A93,A101,4,A121,36.0,A143,A152,2,173,1,A192,0
14,9,32,A46,3832,65,75,1,A93,A101,4,A121,63.0,A143,A152,1,172,1,A191,0
11,24,32,A43,3660,61,73,2,A92,A101,4,A123,28.0,A143,A152,1,173,1,A191,0
11,18,31,A42,1553,61,73,4,A93,A101,3,A123,44.0,A141,A152,1,173,1,A191,1
12,15,32,A43,1444,65,72,4,A93,A101,1,A122,23.0,A143,A152,1,173,1,A191,0
14,9,32,A42,1980,61,72,2,A92,A102,2,A123,22.0,A143,A151,2,173,1,A191,1
12,24,32,A40,1355,61,72,3,A92,A101,4,A123,25.0,A143,A152,1,172,1,A192,1
14,12,32,A46,1393,61,75,4,A93,A101,4,A122,47.0,A141,A152,3,173,2,A192,0
14,24,32,A43,1376,63,74,4,A92,A101,1,A123,28.0,A143,A152,1,173,1,A191,0
14,60,33,A43,15653,61,74,2,A93,A101,4,A123,22.0,A143,A152,2,173,1,A192,0
14,12,32,A43,1493,61,72,4,A92,A101,3,A123,34.0,A143,A152,1,173,2,A191,0
11,42,33,A43,4370,61,74,3,A93,A101,2,A122,26.0,A141,A152,2,173,2,A192,1
11,18,32,A46,750,61,71,4,A92,A101,1,A121,27.0,A143,A152,1,171,1,A191,1
12,15,32,A45,1308,61,75,4,A93,A101,4,A123,38.0,A143,A152,2,172,1,A191,0
14,15,32,A46,4623,62,73,3,A93,A101,2,A122,40.0,A143,A152,1,174,1,A192,1
14,24,34,A43,1851,61,74,4,A94,A103,2,A123,33.0,A143,A152,2,173,1,A192,0
11,18,34,A43,1880,61,74,4,A94,A101,1,A122,32.0,A143,A152,2,174,1,A192,0
14,36,33,A49,7980,65,72,4,A93,A101,4,A123,27.0,A143,A151,2,173,1,A192,1
11,30,30,A42,4583,61,73,2,A91,A103,2,A121,32.0,A143,A152,2,173,1,A191,0
14,12,32,A40,1386,63,73,2,A92,A101,2,A122,26.0,A143,A152,1,173,1,A191,1
13,24,32,A40,947,61,74,4,A93,A101,3,A124,38.0,A141,A153,1,173,2,A191,1
11,12,32,A46,684,61,73,4,A93,A101,4,A123,40.0,A143,A151,1,172,2,A191,1
11,48,32,A46,7476,61,74,4,A93,A101,1,A124,50.0,A143,A153,1,174,1,A192,0
12,12,32,A42,1922,61,73,4,A93,A101,2,A122,37.0,A143,A152,1,172,1,A191,1
11,24,32,A40,2303,61,75,4,A93,A102,1,A121,45.0,A143,A152,1,173,1,A191,1
12,36,33,A40,8086,62,75,2,A93,A101,4,A123,42.0,A143,A152,4,174,1,A192,1
14,24,34,A41,2346,61,74,4,A93,A101,3,A123,35.0,A143,A152,2,173,1,A192,0
11,14,32,A40,3973,61,71,1,A93,A101,4,A124,22.0,A143,A153,1,173,1,A191,0
12,12,32,A40,888,61,75,4,A93,A101,4,A123,41.0,A141,A152,1,172,2,A191,1
14,48,32,A43,10222,65,74,4,A93,A101,3,A123,37.0,A142,A152,1,173,1,A192,0
12,30,30,A49,4221,61,73,2,A92,A101,1,A123,28.0,A143,A152,2,173,1,A191,0
12,18,34,A42,6361,61,75,2,A93,A101,1,A124,41.0,A143,A152,1,173,1,A192,0
13,12,32,A43,1297,61,73,3,A94,A101,4,A121,23.0,A143,A151,1,173,1,A191,0
11,12,32,A40,900,65,73,4,A94,A101,2,A123,23.0,A143,A152,1,173,1,A191,1
14,21,32,A42,2241,61,75,4,A93,A101,2,A121,50.0,A143,A152,2,173,1,A191,0
12,6,33,A42,1050,61,71,4,A93,A101,1,A122,35.0,A142,A152,2,174,1,A192,0
13,6,34,A46,1047,61,73,2,A92,A101,4,A122,50.0,A143,A152,1,172,1,A191,0
14,24,34,A410,6314,61,71,4,A93,A102,2,A124,27.0,A141,A152,2,174,1,A192,0
12,30,31,A42,3496,64,73,4,A93,A101,2,A123,34.0,A142,A152,1,173,2,A192,0
14,48,31,A49,3609,61,73,1,A92,A101,1,A121,27.0,A142,A152,1,173,1,A191,0
11,12,34,A40,4843,61,75,3,A93,A102,4,A122,43.0,A143,A151,2,173,1,A192,1
13,30,34,A43,3017,61,75,4,A93,A101,4,A122,47.0,A143,A152,1,173,1,A191,0
14,24,34,A49,4139,62,73,3,A93,A101,3,A122,27.0,A143,A152,2,172,1,A192,0
14,36,32,A49,5742,62,74,2,A93,A101,2,A123,31.0,A143,A152,2,173,1,A192,0
14,60,32,A40,10366,61,75,2,A93,A101,4,A122,42.0,A143,A152,1,174,1,A192,0
14,6,34,A40,2080,63,73,1,A94,A101,2,A123,24.0,A143,A152,1,173,1,A191,0
14,21,33,A49,2580,63,72,4,A93,A101,2,A121,41.0,A141,A152,1,172,2,A191,1
14,30,34,A43,4530,61,74,4,A92,A101,4,A123,26.0,A143,A151,1,174,1,A192,0
14,24,34,A42,5150,61,75,4,A93,A101,4,A123,33.0,A143,A152,1,173,1,A192,0
12,72,32,A43,5595,62,73,2,A94,A101,2,A123,24.0,A143,A152,1,173,1,A191,1
11,24,32,A43,2384,61,75,4,A93,A101,4,A121,63.0,A141,A151,1,172,1,A191,0
14,18,32,A43,1453,61,72,3,A92,A101,1,A121,26.0,A143,A152,1,173,1,A191,0
14,6,32,A46,1538,61,72,1,A92,A101,2,A124,56.0,A143,A152,1,173,1,A191,0
14,12,32,A43,2279,65,73,4,A93,A101,4,A124,37.0,A143,A153,1,173,1,A192,0
14,15,33,A43,1478,61,73,4,A94,A101,3,A121,33.0,A141,A152,2,173,1,A191,0
14,24,34,A43,5103,61,72,3,A94,A101,3,A124,47.0,A143,A153,3,173,1,A192,0
12,36,33,A49,9857,62,74,1,A93,A101,3,A122,31.0,A143,A152,2,172,2,A192,0
14,60,32,A40,6527,65,73,4,A93,A101,4,A124,34.0,A143,A153,1,173,2,A192,0
13,10,34,A43,1347,65,74,4,A93,A101,2,A122,27.0,A143,A152,2,173,1,A192,0
12,36,33,A40,2862,62,75,4,A93,A101,3,A124,30.0,A143,A153,1,173,1,A191,0
14,9,32,A43,2753,62,75,3,A93,A102,4,A123,35.0,A143,A152,1,173,1,A192,0
11,12,32,A40,3651,64,73,1,A93,A101,3,A122,31.0,A143,A152,1,173,2,A191,0
11,15,34,A42,975,61,73,2,A91,A101,3,A122,25.0,A143,A152,2,173,1,A191,0
12,15,32,A45,2631,62,73,3,A92,A101,2,A121,25.0,A143,A152,1,172,1,A191,0
12,24,32,A43,2896,62,72,2,A93,A101,1,A123,29.0,A143,A152,1,173,1,A191,0
11,6,34,A40,4716,65,72,1,A93,A101,3,A121,44.0,A143,A152,2,172,2,A191,0
14,24,32,A43,2284,61,74,4,A93,A101,2,A123,28.0,A143,A152,1,173,1,A192,0
14,6,32,A41,1236,63,73,2,A93,A101,4,A122,50.0,A143,A151,1,173,1,A191,0
12,12,32,A43,1103,61,74,4,A93,A103,3,A121,29.0,A143,A152,2,173,1,A191,0
14,12,34,A40,926,61,71,1,A92,A101,2,A122,38.0,A143,A152,1,171,1,A191,0
14,18,34,A43,1800,61,73,4,A93,A101,2,A123,24.0,A143,A152,2,173,1,A191,0
13,15,32,A46,1905,61,75,4,A93,A101,4,A123,40.0,A143,A151,1,174,1,A192,0
14,12,32,A42,1123,63,73,4,A92,A101,4,A123,29.0,A143,A151,1,172,1,A191,1
11,48,34,A41,6331,61,75,4,A93,A101,4,A124,46.0,A143,A153,2,173,1,A192,1
13,24,32,A43,1377,62,75,4,A92,A101,2,A124,47.0,A143,A153,1,173,1,A192,0
12,30,33,A49,2503,62,75,4,A93,A101,2,A122,41.0,A142,A152,2,173,1,A191,0
12,27,32,A49,2528,61,72,4,A92,A101,1,A122,32.0,A143,A152,1,173,2,A192,0
14,15,32,A40,5324,63,75,1,A92,A101,4,A124,35.0,A143,A153,1,173,1,A191,0
12,48,32,A40,6560,62,74,3,A93,A101,2,A122,24.0,A143,A152,1,173,1,A191,1
12,12,30,A42,2969,61,72,4,A92,A101,3,A122,25.0,A143,A151,2,173,1,A191,1
12,9,32,A43,1206,61,75,4,A92,A101,4,A121,25.0,A143,A152,1,173,1,A191,0
12,9,32,A43,2118,61,73,2,A93,A101,2,A121,37.0,A143,A152,1,172,2,A191,0
14,18,34,A43,629,63,75,4,A93,A101,3,A122,32.0,A141,A152,2,174,1,A192,0
11,6,31,A46,1198,61,75,4,A92,A101,4,A124,35.0,A143,A153,1,173,1,A191,1
14,21,32,A41,2476,65,75,4,A93,A101,4,A121,46.0,A143,A152,1,174,1,A192,0
11,9,34,A43,1138,61,73,4,A93,A101,4,A121,25.0,A143,A152,2,172,1,A191,0
12,60,32,A40,14027,61,74,4,A93,A101,2,A124,27.0,A143,A152,1,174,1,A192,1
14,30,34,A41,7596,65,75,1,A93,A101,4,A123,63.0,A143,A152,2,173,1,A191,0
14,30,34,A43,3077,65,75,3,A93,A101,2,A123,40.0,A143,A152,2,173,2,A192,0
14,18,32,A43,1505,61,73,4,A93,A101,2,A124,32.0,A143,A153,1,174,1,A192,0
13,24,34,A43,3148,65,73,3,A93,A101,2,A123,31.0,A143,A152,2,173,1,A192,0
12,20,30,A41,6148,62,75,3,A94,A101,4,A123,31.0,A141,A152,2,173,1,A192,0
13,9,30,A43,1337,61,72,4,A93,A101,2,A123,34.0,A143,A152,2,174,1,A192,1
12,6,31,A46,433,64,72,4,A92,A101,2,A122,24.0,A141,A151,1,173,2,A191,1
11,12,32,A40,1228,61,73,4,A92,A101,2,A121,24.0,A143,A152,1,172,1,A191,1
12,9,32,A43,790,63,73,4,A92,A101,3,A121,63.0,A143,A152,1,172,1,A191,0
14,27,32,A40,2570,61,73,3,A92,A101,3,A121,22.0,A143,A151,1,173,1,A191,1
14,6,34,A40,250,64,73,2,A92,A101,2,A121,41.0,A141,A152,2,172,1,A191,0
14,15,34,A43,1316,63,73,2,A94,A101,2,A122,47.0,A143,A152,2,172,1,A191,0
11,18,32,A43,1882,61,73,4,A92,A101,4,A123,25.0,A141,A151,2,173,1,A191,1
12,48,31,A49,6416,61,75,4,A92,A101,3,A124,59.0,A143,A151,1,173,1,A191,1
13,24,34,A49,1275,64,73,2,A91,A101,4,A121,36.0,A143,A152,2,173,1,A192,0
12,24,33,A43,6403,61,72,1,A93,A101,2,A123,33.0,A143,A152,1,173,1,A191,0
11,24,32,A43,1987,61,73,2,A93,A101,4,A121,22.0,A143,A151,1,172,2,A191,1
12,8,32,A43,760,61,74,4,A92,A103,2,A121,44.0,A143,A152,1,172,1,A191,0
14,24,32,A41,2603,64,73,2,A92,A101,4,A123,28.0,A143,A151,1,173,1,A192,0
14,4,34,A40,3380,61,74,1,A92,A101,1,A121,37.0,A143,A152,1,173,2,A191,0
12,36,31,A44,3990,65,72,3,A92,A101,2,A124,29.0,A141,A152,1,171,1,A191,0
12,24,32,A41,11560,61,73,1,A92,A101,4,A123,23.0,A143,A151,2,174,1,A191,1
11,18,32,A40,4380,62,73,3,A93,A101,4,A123,35.0,A143,A152,1,172,2,A192,0
14,6,34,A40,6761,61,74,1,A93,A101,3,A124,45.0,A143,A152,2,174,2,A192,0
12,30,30,A49,4280,62,73,4,A92,A101,4,A123,26.0,A143,A151,2,172,1,A191,1
11,24,31,A40,2325,62,74,2,A93,A101,3,A123,32.0,A141,A152,1,173,1,A191,0
12,10,31,A43,1048,61,73,4,A93,A101,4,A121,23.0,A142,A152,1,172,1,A191,0
14,21,32,A43,3160,65,75,4,A93,A101,3,A122,41.0,A143,A152,1,173,1,A192,0
11,24,31,A42,2483,63,73,4,A93,A101,4,A121,22.0,A142,A152,1,173,1,A192,0
11,39,34,A42,14179,65,74,4,A93,A101,4,A122,30.0,A143,A152,2,174,1,A192,0
11,13,34,A49,1797,61,72,3,A93,A101,1,A122,28.0,A141,A152,2,172,1,A191,0
11,15,32,A40,2511,61,71,1,A92,A101,4,A123,23.0,A143,A151,1,173,1,A191,0
11,12,32,A40,1274,61,72,3,A92,A101,1,A121,37.0,A143,A152,1,172,1,A191,1
14,21,32,A41,5248,65,73,1,A93,A101,3,A123,26.0,A143,A152,1,173,1,A191,0
14,15,32,A41,3029,61,74,2,A93,A101,2,A123,33.0,A143,A152,1,173,1,A191,0
11,6,32,A42,428,61,75,2,A92,A101,1,A122,49.0,A141,A152,1,173,1,A192,0
11,18,32,A40,976,61,72,1,A92,A101,2,A123,23.0,A143,A152,1,172,1,A191,1
12,12,32,A49,841,62,74,2,A92,A101,4,A121,23.0,A143,A151,1,172,1,A191,0
14,30,34,A43,5771,61,74,4,A92,A101,2,A123,25.0,A143,A152,2,173,1,A191,0
14,12,33,A45,1555,64,75,4,A93,A101,4,A124,55.0,A143,A153,2,173,2,A191,1
11,24,32,A40,1285,65,74,4,A92,A101,4,A124,32.0,A143,A151,1,173,1,A191,1
13,6,34,A40,1299,61,73,1,A93,A101,1,A121,63.0,A143,A152,3,171,2,A191,0
13,15,34,A43,1271,65,73,3,A93,A101,4,A124,39.0,A143,A153,2,173,1,A192,1
14,24,32,A40,1393,61,73,2,A93,A103,2,A121,31.0,A143,A152,1,173,1,A192,0
11,12,34,A40,691,61,75,4,A93,A101,3,A122,35.0,A143,A152,2,173,1,A191,1
14,15,34,A40,5045,65,75,1,A92,A101,4,A123,59.0,A143,A152,1,173,1,A192,0
11,18,34,A42,2124,61,73,4,A92,A101,4,A121,24.0,A143,A151,2,173,1,A191,1
11,12,32,A43,2214,61,73,4,A93,A101,3,A122,24.0,A143,A152,1,172,1,A191,0
14,21,34,A40,12680,65,75,4,A93,A101,4,A124,30.0,A143,A153,1,174,1,A192,1
14,24,34,A40,2463,62,74,4,A94,A101,3,A122,27.0,A143,A152,2,173,1,A192,0
12,12,32,A43,1155,61,75,3,A94,A103,3,A121,40.0,A141,A152,2,172,1,A191,0
11,30,32,A42,3108,61,72,2,A91,A101,4,A122,31.0,A143,A152,1,172,1,A191,1
14,10,32,A41,2901,65,72,1,A92,A101,4,A121,31.0,A143,A151,1,173,1,A191,0
12,12,34,A42,3617,61,75,1,A93,A101,4,A123,28.0,A143,A151,3,173,1,A192,0
14,12,34,A43,1655,61,75,2,A93,A101,4,A121,63.0,A143,A152,2,172,1,A192,0
11,24,32,A41,2812,65,75,2,A92,A101,4,A121,26.0,A143,A151,1,173,1,A191,0
11,36,34,A46,8065,61,73,3,A92,A101,2,A124,25.0,A143,A152,2,174,1,A192,1
14,21,34,A41,3275,61,75,1,A93,A101,4,A123,36.0,A143,A152,1,174,1,A192,0
14,24,34,A43,2223,62,75,4,A93,A101,4,A122,52.0,A141,A152,2,173,1,A191,0
13,12,34,A40,1480,63,71,2,A93,A101,4,A124,63.0,A141,A153,3,171,1,A191,0
11,24,32,A40,1371,65,73,4,A92,A101,4,A121,25.0,A143,A151,1,173,1,A191,1
14,36,34,A40,3535,61,74,4,A93,A101,4,A123,37.0,A143,A152,2,173,1,A192,0
11,18,32,A43,3509,61,74,4,A92,A103,1,A121,25.0,A143,A152,1,173,1,A191,0
14,36,34,A41,5711,64,75,4,A93,A101,2,A123,38.0,A143,A152,2,174,1,A192,0
12,18,32,A45,3872,61,71,2,A92,A101,4,A123,63.0,A143,A152,1,173,1,A192,0
12,39,34,A43,4933,61,74,2,A93,A103,2,A121,25.0,A143,A152,2,173,1,A191,1
14,24,34,A40,1940,64,75,4,A93,A101,4,A121,60.0,A143,A152,1,173,1,A192,0
12,12,30,A48,1410,61,73,2,A93,A101,2,A121,31.0,A143,A152,1,172,1,A192,0
12,12,32,A40,836,62,72,4,A92,A101,2,A122,23.0,A141,A152,1,172,1,A191,1
12,20,32,A41,6468,65,71,1,A91,A101,4,A121,60.0,A143,A152,1,174,1,A192,0
12,18,32,A49,1941,64,73,4,A93,A101,2,A122,35.0,A143,A152,1,172,1,A192,0
14,22,32,A43,2675,63,75,3,A93,A101,4,A123,40.0,A143,A152,1,173,1,A191,0
14,48,34,A41,2751,65,75,4,A93,A101,3,A123,38.0,A143,A152,2,173,2,A192,0
12,48,33,A46,6224,61,75,4,A93,A101,4,A124,50.0,A143,A153,1,173,1,A191,1
11,40,34,A46,5998,61,73,4,A93,A101,3,A124,27.0,A141,A152,1,173,1,A192,1
12,21,32,A49,1188,61,75,2,A92,A101,4,A122,39.0,A143,A152,1,173,2,A191,1
14,24,32,A41,6313,65,75,3,A93,A101,4,A123,41.0,A143,A152,1,174,2,A192,0
14,6,34,A42,1221,65,73,1,A94,A101,2,A122,27.0,A143,A152,2,173,1,A191,0
13,24,32,A42,2892,61,75,3,A91,A101,4,A124,51.0,A143,A153,1,173,1,A191,0
14,24,32,A42,3062,63,75,4,A93,A101,3,A124,32.0,A143,A151,1,173,1,A192,0
14,9,32,A42,2301,62,72,2,A92,A101,4,A122,22.0,A143,A151,1,173,1,A191,0
11,18,32,A41,7511,65,75,1,A93,A101,4,A122,51.0,A143,A153,1,173,2,A192,1
14,12,34,A42,1258,61,72,2,A92,A101,4,A122,22.0,A143,A151,2,172,1,A191,0
14,24,33,A40,717,65,75,4,A94,A101,4,A123,54.0,A143,A152,2,173,1,A192,0
12,9,32,A40,1549,65,72,4,A93,A101,2,A121,35.0,A143,A152,1,171,1,A191,0
14,24,34,A46,1597,61,75,4,A93,A101,4,A124,54.0,A143,A153,2,173,2,A191,0
12,18,34,A43,1795,61,75,3,A92,A103,4,A121,48.0,A141,A151,2,172,1,A192,0
11,20,34,A42,4272,61,75,1,A92,A101,4,A122,24.0,A143,A152,2,173,1,A191,0
14,12,34,A43,976,65,75,4,A93,A101,4,A123,35.0,A143,A152,2,173,1,A191,0
12,12,32,A40,7472,65,71,1,A92,A101,2,A121,24.0,A143,A151,1,171,1,A191,0
11,36,32,A40,9271,61,74,2,A93,A101,1,A123,24.0,A143,A152,1,173,1,A192,1
12,6,32,A43,590,61,72,3,A94,A101,3,A121,26.0,A143,A152,1,172,1,A191,0
14,12,34,A43,930,65,75,4,A93,A101,4,A121,63.0,A143,A152,4,173,1,A191,0
12,42,31,A41,9283,61,71,1,A93,A101,2,A124,55.0,A141,A153,1,174,1,A192,0
12,15,30,A40,1778,61,72,2,A92,A101,1,A121,26.0,A143,A151,2,171,1,A191,1
12,8,32,A49,907,61,72,3,A94,A101,2,A121,26.0,A143,A152,1,173,1,A192,0
12,6,32,A43,484,61,74,3,A94,A103,3,A121,28.0,A141,A152,1,172,1,A191,0
11,36,34,A41,9629,61,74,4,A93,A101,4,A123,24.0,A143,A152,2,173,1,A192,1
11,48,32,A44,3051,61,73,3,A93,A101,4,A123,54.0,A143,A152,1,173,1,A191,1
11,48,32,A40,3931,61,74,4,A93,A101,4,A124,46.0,A143,A153,1,173,2,A191,1
12,36,33,A40,7432,61,73,2,A92,A101,2,A122,54.0,A143,A151,1,173,1,A191,0
14,6,32,A44,1338,63,73,1,A91,A101,4,A121,62.0,A143,A152,1,173,1,A191,0
14,6,34,A43,1554,61,74,1,A92,A101,2,A123,24.0,A143,A151,2,173,1,A192,0
11,36,32,A410,15857,61,71,2,A91,A102,3,A123,43.0,A143,A152,1,174,1,A191,0
11,18,32,A43,1345,61,73,4,A94,A101,3,A121,26.0,A141,A152,1,173,1,A191,1
14,12,32,A40,1101,61,73,3,A94,A101,2,A121,27.0,A143,A152,2,173,1,A192,0
13,12,32,A43,3016,61,73,3,A94,A101,1,A123,24.0,A143,A152,1,173,1,A191,0
11,36,32,A42,2712,61,75,2,A93,A101,2,A122,41.0,A141,A152,1,173,2,A191,1
11,8,34,A40,731,61,75,4,A93,A101,4,A121,47.0,A143,A152,2,172,1,A191,0
14,18,34,A42,3780,61,72,3,A91,A101,2,A123,35.0,A143,A152,2,174,1,A192,0
11,21,34,A40,1602,61,75,4,A94,A101,3,A123,30.0,A143,A152,2,173,1,A192,0
11,18,34,A40,3966,61,75,1,A92,A101,4,A121,33.0,A141,A151,3,173,1,A192,1
